record_id,td_sim_0,record_atd
383,363.0,363.0
399,17.0,17.0
412,63.0,63.0
2035,1117.0,1117.0
3076,140.0,140.0
4169,56.0,56.0
5287,34.0,34.0
5477,172.0,172.0
7476,1409.0,1409.0
9167,538.0,538.0
9485,155.0,155.0
9878,181.0,181.0
11774,227.0,227.0
11803,29.0,29.0
12321,19.0,19.0
12605,62.0,62.0
13043,188.0,188.0
13509,2587.0,2587.0
15365,2770.0,2770.0
16211,1205.0,1205.0
16870,9.0,9.0
16978,18.0,18.0
17368,236.0,236.0
18057,79.0,79.0
18487,192.0,192.0
20513,125.0,125.0
20933,83.0,83.0
21140,534.0,534.0
22307,234.0,234.0
24076,226.0,226.0
24549,58.0,58.0
25151,66.0,66.0
25248,24.0,24.0
25549,527.0,527.0
25999,580.0,580.0
26496,26.0,26.0
26747,99.0,99.0
26768,350.0,350.0
26957,1364.0,1364.0
26999,426.0,426.0
27034,30.0,30.0
27196,12.0,12.0
28038,1973.0,1973.0
28163,160.0,160.0
28653,232.0,232.0
28757,96.0,96.0
28843,189.0,189.0
30048,337.0,337.0
30807,221.0,221.0
33245,68.0,68.0
33297,116.0,116.0
33545,135.0,135.0
33568,231.0,231.0
34125,25.0,25.0
34210,237.0,237.0
34825,88.0,88.0
35085,86.0,86.0
35647,59.0,59.0
36193,46.0,46.0
36578,16.0,16.0
37216,44.0,44.0
average_simulation_TD,344.08196721311475,
