record_id,td_sim_0,record_atd
383,478.0,478.0
399,13.0,13.0
412,81.0,81.0
2035,898.0,898.0
3076,152.0,152.0
4169,44.0,44.0
5287,56.0,56.0
5477,122.0,122.0
7476,1140.0,1140.0
9167,607.0,607.0
9485,153.0,153.0
9878,114.0,114.0
11774,289.0,289.0
11803,48.0,48.0
12321,25.0,25.0
12605,42.0,42.0
13043,212.0,212.0
13509,3431.0,3431.0
15365,3077.0,3077.0
16211,1242.0,1242.0
16870,19.0,19.0
16978,22.0,22.0
17368,234.0,234.0
18057,55.0,55.0
18487,221.0,221.0
20513,204.0,204.0
20933,82.0,82.0
21140,675.0,675.0
22307,288.0,288.0
24076,220.0,220.0
24549,58.0,58.0
25151,39.0,39.0
25248,33.0,33.0
25549,657.0,657.0
25999,768.0,768.0
26496,31.0,31.0
26747,112.0,112.0
26768,357.0,357.0
26957,1443.0,1443.0
26999,533.0,533.0
27034,34.0,34.0
27196,24.0,24.0
28038,1649.0,1649.0
28163,272.0,272.0
28653,218.0,218.0
28757,113.0,113.0
28843,136.0,136.0
30048,500.0,500.0
30807,227.0,227.0
33245,64.0,64.0
33297,142.0,142.0
33545,176.0,176.0
33568,199.0,199.0
34125,38.0,38.0
34210,248.0,248.0
34825,51.0,51.0
35085,91.0,91.0
35647,45.0,45.0
36193,109.0,109.0
36578,16.0,16.0
37216,27.0,27.0
average_simulation_TD,371.37704918032784,
