record_id,td_sim_0,record_atd
68,144.0,144.0
228,34.0,34.0
259,56.0,56.0
273,167.0,167.0
373,68.0,68.0
497,43.0,43.0
543,116.0,116.0
779,96.0,96.0
955,139.0,139.0
1026,232.0,232.0
1038,159.0,159.0
1082,348.0,348.0
1121,141.0,141.0
1124,188.0,188.0
1183,83.0,83.0
1202,93.0,93.0
1210,74.0,74.0
1216,100.0,100.0
1230,58.0,58.0
1280,152.0,152.0
1476,462.0,462.0
1551,204.0,204.0
1554,149.0,149.0
1596,51.0,51.0
1824,9.0,9.0
1918,13.0,13.0
1928,107.0,107.0
1964,181.0,181.0
1984,32.0,32.0
2146,20.0,20.0
2329,265.0,265.0
2492,71.0,71.0
2552,26.0,26.0
2571,45.0,45.0
2686,80.0,80.0
2775,85.0,85.0
2842,23.0,23.0
3038,40.0,40.0
3071,103.0,103.0
3143,54.0,54.0
3163,108.0,108.0
3169,148.0,148.0
3258,44.0,44.0
3342,21.0,21.0
3689,50.0,50.0
4194,4.0,4.0
4241,115.0,115.0
4400,52.0,52.0
4488,22.0,22.0
4506,17.0,17.0
4543,112.0,112.0
4549,118.0,118.0
4560,146.0,146.0
4651,400.0,400.0
4873,153.0,153.0
4877,33.0,33.0
4905,12.0,12.0
4926,66.0,66.0
4931,39.0,39.0
5055,70.0,70.0
5084,24.0,24.0
5176,42.0,42.0
5177,121.0,121.0
5262,1.0,1.0
5302,135.0,135.0
5308,221.0,221.0
5328,185.0,185.0
5347,77.0,77.0
5425,18.0,18.0
5640,46.0,46.0
5647,1895.0,1895.0
5828,47.0,47.0
6002,98.0,98.0
6033,127.0,127.0
6085,183.0,183.0
6165,19.0,19.0
6303,133.0,133.0
6520,11.0,11.0
6566,244.0,244.0
6718,176.0,176.0
6815,104.0,104.0
6963,35.0,35.0
7084,136.0,136.0
7263,143.0,143.0
7362,163.0,163.0
7450,154.0,154.0
7509,295.0,295.0
7571,81.0,81.0
7691,123.0,123.0
7700,94.0,94.0
7788,125.0,125.0
7797,41.0,41.0
7878,164.0,164.0
7905,131.0,131.0
7913,184.0,184.0
8078,101.0,101.0
8355,3.0,3.0
8366,15.0,15.0
8477,88.0,88.0
8528,191.0,191.0
8612,156.0,156.0
8679,194.0,194.0
8751,8.0,8.0
average_simulation_TD,124.00970873786407,
