record_id,td_sim_0,record_atd
68,143.0,143.0
228,52.0,52.0
259,89.0,89.0
273,211.0,211.0
373,91.0,91.0
497,64.0,64.0
543,144.0,144.0
779,104.0,104.0
955,172.0,172.0
1026,250.0,250.0
1038,139.0,139.0
1082,432.0,432.0
1121,171.0,171.0
1124,223.0,223.0
1183,49.0,49.0
1202,141.0,141.0
1210,98.0,98.0
1216,237.0,237.0
1230,47.0,47.0
1280,181.0,181.0
1476,582.0,582.0
1551,175.0,175.0
1554,127.0,127.0
1596,65.0,65.0
1824,8.0,8.0
1918,11.0,11.0
1928,146.0,146.0
1964,195.0,195.0
1984,41.0,41.0
2146,26.0,26.0
2329,225.0,225.0
2492,57.0,57.0
2552,45.0,45.0
2571,67.0,67.0
2686,46.0,46.0
2775,105.0,105.0
2842,34.0,34.0
3038,55.0,55.0
3071,90.0,90.0
3143,60.0,60.0
3163,125.0,125.0
3169,140.0,140.0
3258,92.0,92.0
3342,31.0,31.0
3689,50.0,50.0
4194,5.0,5.0
4241,123.0,123.0
4400,27.0,27.0
4488,32.0,32.0
4506,53.0,53.0
4543,106.0,106.0
4549,154.0,154.0
4560,187.0,187.0
4651,336.0,336.0
4873,138.0,138.0
4877,54.0,54.0
4905,12.0,12.0
4926,56.0,56.0
4931,38.0,38.0
5055,170.0,170.0
5084,44.0,44.0
5176,73.0,73.0
5177,43.0,43.0
5262,1.0,1.0
5302,132.0,132.0
5308,185.0,185.0
5328,142.0,142.0
5347,78.0,78.0
5425,20.0,20.0
5640,62.0,62.0
5647,1947.0,1947.0
5828,80.0,80.0
6002,72.0,72.0
6033,149.0,149.0
6085,169.0,169.0
6165,24.0,24.0
6303,28.0,28.0
6520,10.0,10.0
6566,222.0,222.0
6718,215.0,215.0
6815,133.0,133.0
6963,61.0,61.0
7084,145.0,145.0
7263,131.0,131.0
7362,129.0,129.0
7450,115.0,115.0
7509,278.0,278.0
7571,15.0,15.0
7691,112.0,112.0
7700,128.0,128.0
7788,210.0,210.0
7797,63.0,63.0
7878,189.0,189.0
7905,122.0,122.0
7913,220.0,220.0
8078,113.0,113.0
8355,3.0,3.0
8366,23.0,23.0
8477,82.0,82.0
8528,221.0,221.0
8612,180.0,180.0
8679,388.0,388.0
8751,14.0,14.0
average_simulation_TD,134.93203883495147,
