record_id,td_sim_0,record_atd
6,413.0,413.0
19,27.0,27.0
25,317.0,317.0
30,76.0,76.0
34,10.0,10.0
41,213.0,213.0
102,46.0,46.0
104,180.0,180.0
136,20.0,20.0
138,112.0,112.0
144,124.0,124.0
158,53.0,53.0
162,50.0,50.0
168,72.0,72.0
174,178.0,178.0
184,82.0,82.0
213,117.0,117.0
214,43.0,43.0
217,356.0,356.0
244,1.0,1.0
253,138.0,138.0
271,24.0,24.0
282,23.0,23.0
287,122.0,122.0
290,39.0,39.0
291,44.0,44.0
298,68.0,68.0
336,37.0,37.0
359,224.0,224.0
382,349.0,349.0
387,130.0,130.0
394,59.0,59.0
406,84.0,84.0
409,29.0,29.0
414,1087.0,1087.0
415,489.0,489.0
422,481.0,481.0
435,219.0,219.0
460,329.0,329.0
462,242.0,242.0
463,36.0,36.0
478,13.0,13.0
504,60.0,60.0
513,321.0,321.0
550,8.0,8.0
552,304.0,304.0
556,193.0,193.0
585,157.0,157.0
604,55.0,55.0
637,433.0,433.0
659,33.0,33.0
675,131.0,131.0
736,15.0,15.0
741,324.0,324.0
753,26.0,26.0
758,318.0,318.0
762,115.0,115.0
774,71.0,71.0
791,30.0,30.0
795,485.0,485.0
813,260.0,260.0
818,119.0,119.0
819,79.0,79.0
821,116.0,116.0
829,217.0,217.0
835,21.0,21.0
839,41.0,41.0
854,78.0,78.0
858,54.0,54.0
865,170.0,170.0
904,94.0,94.0
916,103.0,103.0
932,142.0,142.0
954,472.0,472.0
974,35.0,35.0
1011,90.0,90.0
1015,77.0,77.0
1021,95.0,95.0
1048,471.0,471.0
1049,81.0,81.0
1055,430.0,430.0
1062,464.0,464.0
1068,6.0,6.0
1070,461.0,461.0
1087,153.0,153.0
1095,244.0,244.0
1100,73.0,73.0
1109,65.0,65.0
1119,405.0,405.0
1120,17.0,17.0
1137,218.0,218.0
1138,11.0,11.0
1150,563.0,563.0
1155,127.0,127.0
1159,70.0,70.0
average_simulation_TD,167.96842105263158,
