record_id,td_sim_0,record_atd
6,387.0,387.0
19,26.0,26.0
25,314.0,314.0
30,72.0,72.0
34,36.0,36.0
41,227.0,227.0
102,99.0,99.0
104,157.0,157.0
136,21.0,21.0
138,98.0,98.0
144,121.0,121.0
158,82.0,82.0
162,85.0,85.0
168,93.0,93.0
174,156.0,156.0
184,92.0,92.0
213,131.0,131.0
214,37.0,37.0
217,386.0,386.0
244,1.0,1.0
253,79.0,79.0
271,23.0,23.0
282,54.0,54.0
287,174.0,174.0
290,38.0,38.0
291,39.0,39.0
298,83.0,83.0
336,41.0,41.0
359,321.0,321.0
382,374.0,374.0
387,201.0,201.0
394,45.0,45.0
406,59.0,59.0
409,19.0,19.0
414,1083.0,1083.0
415,458.0,458.0
422,462.0,462.0
435,215.0,215.0
460,319.0,319.0
462,270.0,270.0
463,27.0,27.0
478,11.0,11.0
504,52.0,52.0
513,365.0,365.0
550,10.0,10.0
552,333.0,333.0
556,246.0,246.0
585,159.0,159.0
604,65.0,65.0
637,546.0,546.0
659,15.0,15.0
675,118.0,118.0
736,24.0,24.0
741,381.0,381.0
753,34.0,34.0
758,354.0,354.0
762,122.0,122.0
774,77.0,77.0
791,22.0,22.0
795,490.0,490.0
813,249.0,249.0
818,120.0,120.0
819,76.0,76.0
821,102.0,102.0
829,206.0,206.0
835,16.0,16.0
839,42.0,42.0
854,47.0,47.0
858,43.0,43.0
865,220.0,220.0
904,60.0,60.0
916,107.0,107.0
932,108.0,108.0
954,471.0,471.0
974,32.0,32.0
1011,67.0,67.0
1015,97.0,97.0
1021,115.0,115.0
1048,461.0,461.0
1049,101.0,101.0
1055,465.0,465.0
1062,460.0,460.0
1068,9.0,9.0
1070,452.0,452.0
1087,128.0,128.0
1095,195.0,195.0
1100,88.0,88.0
1109,63.0,63.0
1119,474.0,474.0
1120,49.0,49.0
1137,205.0,205.0
1138,12.0,12.0
1150,566.0,566.0
1155,127.0,127.0
1159,74.0,74.0
average_simulation_TD,174.06315789473683,
