record_id,td_sim_0,record_atd
0,301.0,301.0
11,312.0,312.0
22,724.0,724.0
33,138.0,138.0
41,753.0,753.0
42,1417.0,1417.0
56,822.0,822.0
67,647.0,647.0
77,2068.0,2068.0
91,67.0,67.0
105,2597.0,2597.0
108,1325.0,1325.0
115,1547.0,1547.0
137,2902.0,2902.0
152,108.0,108.0
165,2.0,2.0
174,544.0,544.0
176,60.0,60.0
180,429.0,429.0
188,93.0,93.0
212,566.0,566.0
227,1457.0,1457.0
246,2081.0,2081.0
272,580.0,580.0
289,25.0,25.0
299,1171.0,1171.0
311,407.0,407.0
329,2414.0,2414.0
389,167.0,167.0
408,1578.0,1578.0
411,848.0,848.0
413,1152.0,1152.0
420,123.0,123.0
423,13.0,13.0
425,1337.0,1337.0
500,485.0,485.0
516,350.0,350.0
534,1569.0,1569.0
549,309.0,309.0
550,601.0,601.0
554,978.0,978.0
579,213.0,213.0
586,418.0,418.0
587,3428.0,3428.0
626,1470.0,1470.0
636,3199.0,3199.0
661,1442.0,1442.0
672,61.0,61.0
674,14.0,14.0
683,1340.0,1340.0
690,885.0,885.0
698,59.0,59.0
735,19.0,19.0
741,493.0,493.0
748,840.0,840.0
785,64.0,64.0
787,342.0,342.0
805,1386.0,1386.0
838,323.0,323.0
848,1683.0,1683.0
853,1411.0,1411.0
865,1446.0,1446.0
868,162.0,162.0
886,1776.0,1776.0
888,272.0,272.0
889,850.0,850.0
890,258.0,258.0
915,3597.0,3597.0
946,406.0,406.0
961,2931.0,2931.0
1021,549.0,549.0
1026,924.0,924.0
1033,1315.0,1315.0
1047,339.0,339.0
1048,2168.0,2168.0
1051,294.0,294.0
1092,95.0,95.0
1099,2134.0,2134.0
1114,1729.0,1729.0
1119,1412.0,1412.0
1121,498.0,498.0
1134,531.0,531.0
1145,208.0,208.0
1155,1318.0,1318.0
1167,1330.0,1330.0
1188,997.0,997.0
1221,2418.0,2418.0
1228,2131.0,2131.0
1235,1617.0,1617.0
1268,736.0,736.0
1270,3701.0,3701.0
1285,2347.0,2347.0
1308,914.0,914.0
1311,2619.0,2619.0
1317,883.0,883.0
1338,358.0,358.0
1353,46.0,46.0
1356,1682.0,1682.0
1394,438.0,438.0
1400,130.0,130.0
1407,434.0,434.0
1409,1132.0,1132.0
1413,4043.0,4043.0
1416,189.0,189.0
1434,2429.0,2429.0
1438,284.0,284.0
1440,4211.0,4211.0
1451,2524.0,2524.0
1455,78.0,78.0
1457,29.0,29.0
1495,974.0,974.0
1520,1275.0,1275.0
1535,2198.0,2198.0
1539,3129.0,3129.0
1542,569.0,569.0
1557,676.0,676.0
1566,1301.0,1301.0
1569,1210.0,1210.0
1573,1050.0,1050.0
1584,33.0,33.0
1586,2164.0,2164.0
1597,506.0,506.0
1617,209.0,209.0
1645,1649.0,1649.0
1660,10.0,10.0
1670,85.0,85.0
1691,1382.0,1382.0
1694,1491.0,1491.0
1697,1362.0,1362.0
1706,1557.0,1557.0
1715,2659.0,2659.0
1725,490.0,490.0
1729,1592.0,1592.0
1738,1737.0,1737.0
1752,486.0,486.0
1758,1965.0,1965.0
1760,2138.0,2138.0
1782,1419.0,1419.0
1795,958.0,958.0
1818,1350.0,1350.0
1822,54.0,54.0
1823,630.0,630.0
1842,1211.0,1211.0
1853,1933.0,1933.0
1876,768.0,768.0
1879,452.0,452.0
1880,2493.0,2493.0
1884,24.0,24.0
1939,300.0,300.0
1992,2256.0,2256.0
1995,686.0,686.0
2008,2642.0,2642.0
2014,132.0,132.0
2016,118.0,118.0
2021,1564.0,1564.0
2030,70.0,70.0
2032,671.0,671.0
2037,1438.0,1438.0
2058,1498.0,1498.0
2062,153.0,153.0
2064,1012.0,1012.0
2073,449.0,449.0
2077,1750.0,1750.0
2089,69.0,69.0
2096,242.0,242.0
2113,1473.0,1473.0
2115,48.0,48.0
2150,150.0,150.0
2157,79.0,79.0
2161,1463.0,1463.0
2164,695.0,695.0
2171,26.0,26.0
2181,117.0,117.0
2182,88.0,88.0
2191,2749.0,2749.0
2209,2289.0,2289.0
2223,316.0,316.0
2224,42.0,42.0
2231,348.0,348.0
2239,122.0,122.0
2247,2561.0,2561.0
2257,401.0,401.0
2263,380.0,380.0
2267,392.0,392.0
2272,1593.0,1593.0
2287,295.0,295.0
2291,1863.0,1863.0
2302,2620.0,2620.0
2312,437.0,437.0
2343,1585.0,1585.0
2348,378.0,378.0
2354,1276.0,1276.0
2365,62.0,62.0
2368,1497.0,1497.0
2419,1262.0,1262.0
2421,1023.0,1023.0
2445,1523.0,1523.0
2450,112.0,112.0
2463,2425.0,2425.0
2472,1589.0,1589.0
2520,1451.0,1451.0
2545,2172.0,2172.0
2553,621.0,621.0
2561,2105.0,2105.0
2573,1625.0,1625.0
2576,288.0,288.0
2587,705.0,705.0
2626,558.0,558.0
2635,193.0,193.0
2664,2300.0,2300.0
2666,494.0,494.0
2672,1665.0,1665.0
2706,210.0,210.0
2712,666.0,666.0
2728,221.0,221.0
2730,89.0,89.0
2740,247.0,247.0
2751,2786.0,2786.0
2759,1873.0,1873.0
2762,1964.0,1964.0
2785,34.0,34.0
2792,935.0,935.0
2843,761.0,761.0
2855,1888.0,1888.0
2861,1540.0,1540.0
2865,2430.0,2430.0
2873,57.0,57.0
2877,279.0,279.0
2899,40.0,40.0
2909,900.0,900.0
2916,1022.0,1022.0
2939,1368.0,1368.0
2943,1025.0,1025.0
