record_id,td_sim_0,record_atd
0,303.0,303.0
11,331.0,331.0
22,577.0,577.0
33,167.0,167.0
41,754.0,754.0
42,1503.0,1503.0
56,648.0,648.0
67,721.0,721.0
77,1972.0,1972.0
91,73.0,73.0
105,2633.0,2633.0
108,1392.0,1392.0
115,1424.0,1424.0
137,2829.0,2829.0
152,110.0,110.0
165,2.0,2.0
174,377.0,377.0
176,65.0,65.0
180,450.0,450.0
188,87.0,87.0
212,585.0,585.0
227,1450.0,1450.0
246,2084.0,2084.0
272,526.0,526.0
289,21.0,21.0
299,1161.0,1161.0
311,379.0,379.0
329,2402.0,2402.0
389,124.0,124.0
408,1812.0,1812.0
411,724.0,724.0
413,977.0,977.0
420,137.0,137.0
423,15.0,15.0
425,1451.0,1451.0
500,493.0,493.0
516,460.0,460.0
534,1671.0,1671.0
549,309.0,309.0
550,605.0,605.0
554,889.0,889.0
579,234.0,234.0
586,408.0,408.0
587,3489.0,3489.0
626,1540.0,1540.0
636,3098.0,3098.0
661,1566.0,1566.0
672,52.0,52.0
674,12.0,12.0
683,1411.0,1411.0
690,898.0,898.0
698,61.0,61.0
735,19.0,19.0
741,490.0,490.0
748,808.0,808.0
785,54.0,54.0
787,305.0,305.0
805,1461.0,1461.0
838,452.0,452.0
848,1190.0,1190.0
853,1500.0,1500.0
865,1465.0,1465.0
868,207.0,207.0
886,1860.0,1860.0
888,263.0,263.0
889,950.0,950.0
890,179.0,179.0
915,3969.0,3969.0
946,387.0,387.0
961,2867.0,2867.0
1021,482.0,482.0
1026,941.0,941.0
1033,1410.0,1410.0
1047,318.0,318.0
1048,2522.0,2522.0
1051,275.0,275.0
1092,94.0,94.0
1099,2034.0,2034.0
1114,1721.0,1721.0
1119,1501.0,1501.0
1121,443.0,443.0
1134,538.0,538.0
1145,189.0,189.0
1155,1414.0,1414.0
1167,1388.0,1388.0
1188,1119.0,1119.0
1221,1716.0,1716.0
1228,2010.0,2010.0
1235,1743.0,1743.0
1268,856.0,856.0
1270,3470.0,3470.0
1285,2536.0,2536.0
1308,926.0,926.0
1311,2639.0,2639.0
1317,748.0,748.0
1338,299.0,299.0
1353,48.0,48.0
1356,1690.0,1690.0
1394,557.0,557.0
1400,95.0,95.0
1407,444.0,444.0
1409,1039.0,1039.0
1413,4069.0,4069.0
1416,184.0,184.0
1434,2441.0,2441.0
1438,281.0,281.0
1440,3988.0,3988.0
1451,2917.0,2917.0
1455,104.0,104.0
1457,29.0,29.0
1495,913.0,913.0
1520,1331.0,1331.0
1535,2456.0,2456.0
1539,3289.0,3289.0
1542,664.0,664.0
1557,801.0,801.0
1566,1312.0,1312.0
1569,1135.0,1135.0
1573,1234.0,1234.0
