record_id,td_sim_0,record_atd
15,85.0,85.0
28,26.0,26.0
67,180.0,180.0
129,380.0,380.0
151,122.0,122.0
184,169.0,169.0
194,47.0,47.0
196,119.0,119.0
206,43.0,43.0
216,13.0,13.0
232,128.0,128.0
247,33.0,33.0
265,205.0,205.0
282,216.0,216.0
284,18.0,18.0
310,88.0,88.0
326,35.0,35.0
350,8.0,8.0
357,55.0,55.0
372,97.0,97.0
421,67.0,67.0
434,113.0,113.0
483,11.0,11.0
531,107.0,107.0
575,7.0,7.0
611,46.0,46.0
639,69.0,69.0
671,54.0,54.0
707,16.0,16.0
742,362.0,362.0
802,148.0,148.0
808,44.0,44.0
814,24.0,24.0
826,79.0,79.0
865,15.0,15.0
874,30.0,30.0
average_simulation_TD,90.52777777777777,
