record_id,td_sim_0,record_atd
15,111.0,111.0
28,22.0,22.0
67,185.0,185.0
129,340.0,340.0
151,144.0,144.0
184,182.0,182.0
194,37.0,37.0
196,130.0,130.0
206,45.0,45.0
216,12.0,12.0
232,143.0,143.0
247,31.0,31.0
265,210.0,210.0
282,207.0,207.0
284,26.0,26.0
310,40.0,40.0
326,36.0,36.0
350,5.0,5.0
357,114.0,114.0
372,30.0,30.0
421,44.0,44.0
434,75.0,75.0
483,6.0,6.0
531,93.0,93.0
575,8.0,8.0
611,91.0,91.0
639,113.0,113.0
671,102.0,102.0
707,11.0,11.0
742,395.0,395.0
802,173.0,173.0
808,51.0,51.0
814,13.0,13.0
826,105.0,105.0
865,15.0,15.0
874,57.0,57.0
average_simulation_TD,94.5,
