record_id,td_sim_0,record_atd
26,25.0,25.0
42,186.0,186.0
46,169.0,169.0
52,39.0,39.0
69,84.0,84.0
98,97.0,97.0
103,114.0,114.0
110,26.0,26.0
114,312.0,312.0
127,91.0,91.0
146,98.0,98.0
159,46.0,46.0
164,175.0,175.0
187,115.0,115.0
194,131.0,131.0
199,156.0,156.0
202,29.0,29.0
204,93.0,93.0
210,63.0,63.0
220,122.0,122.0
254,900.0,900.0
257,174.0,174.0
278,37.0,37.0
282,126.0,126.0
295,264.0,264.0
302,110.0,110.0
313,232.0,232.0
345,120.0,120.0
358,44.0,44.0
359,40.0,40.0
392,225.0,225.0
415,77.0,77.0
418,145.0,145.0
429,49.0,49.0
432,81.0,81.0
493,80.0,80.0
508,70.0,70.0
510,53.0,53.0
535,872.0,872.0
543,83.0,83.0
553,42.0,42.0
556,71.0,71.0
560,395.0,395.0
562,88.0,88.0
567,33.0,33.0
584,248.0,248.0
591,119.0,119.0
606,129.0,129.0
643,43.0,43.0
656,405.0,405.0
669,19.0,19.0
697,35.0,35.0
702,45.0,45.0
735,137.0,137.0
739,128.0,128.0
744,163.0,163.0
745,161.0,161.0
749,62.0,62.0
773,112.0,112.0
786,82.0,82.0
795,59.0,59.0
798,282.0,282.0
826,144.0,144.0
838,109.0,109.0
839,34.0,34.0
840,79.0,79.0
851,167.0,167.0
859,92.0,92.0
887,31.0,31.0
907,149.0,149.0
955,41.0,41.0
956,261.0,261.0
969,76.0,76.0
average_simulation_TD,136.9041095890411,
