record_id,td_sim_0,record_atd
42,1850.0,1850.0
56,1412.0,1412.0
167,3539.0,3539.0
197,4187.0,4187.0
205,3182.0,3182.0
320,1506.0,1506.0
390,2199.0,2199.0
431,1444.0,1444.0
470,1492.0,1492.0
628,3256.0,3256.0
665,2515.0,2515.0
676,69.0,69.0
696,866.0,866.0
707,3480.0,3480.0
755,940.0,940.0
760,1487.0,1487.0
797,1246.0,1246.0
882,501.0,501.0
924,3887.0,3887.0
1126,895.0,895.0
1166,1860.0,1860.0
1330,2646.0,2646.0
1364,656.0,656.0
1416,3310.0,3310.0
1433,4562.0,4562.0
1441,3701.0,3701.0
1470,1288.0,1288.0
1534,1752.0,1752.0
1579,3737.0,3737.0
1600,1888.0,1888.0
1608,1843.0,1843.0
1666,1400.0,1400.0
1742,849.0,849.0
1758,1220.0,1220.0
1830,92.0,92.0
1863,1689.0,1689.0
1879,1453.0,1453.0
1929,201.0,201.0
1966,1026.0,1026.0
2060,3652.0,3652.0
2100,166.0,166.0
2195,2425.0,2425.0
2215,902.0,902.0
2268,754.0,754.0
2399,1680.0,1680.0
2468,1227.0,1227.0
2569,371.0,371.0
2659,5113.0,5113.0
2756,4409.0,4409.0
2785,1362.0,1362.0
2820,1755.0,1755.0
2822,2379.0,2379.0
2895,2885.0,2885.0
2934,1816.0,1816.0
2968,307.0,307.0
3013,761.0,761.0
3058,2985.0,2985.0
3221,1864.0,1864.0
3381,2763.0,2763.0
3549,1561.0,1561.0
3561,1792.0,1792.0
3590,479.0,479.0
3630,935.0,935.0
3698,4946.0,4946.0
3739,1620.0,1620.0
3770,788.0,788.0
3782,807.0,807.0
3788,2519.0,2519.0
3825,3357.0,3357.0
3843,1168.0,1168.0
3960,1349.0,1349.0
4005,18.0,18.0
4006,197.0,197.0
4042,482.0,482.0
4046,847.0,847.0
4085,1832.0,1832.0
4112,1430.0,1430.0
4117,296.0,296.0
4136,805.0,805.0
4183,1846.0,1846.0
4184,2486.0,2486.0
4193,3891.0,3891.0
4237,168.0,168.0
4305,2113.0,2113.0
4321,4098.0,4098.0
4353,2699.0,2699.0
4391,801.0,801.0
4394,979.0,979.0
4455,503.0,503.0
4533,2822.0,2822.0
4542,402.0,402.0
4553,1085.0,1085.0
4595,3280.0,3280.0
4653,3245.0,3245.0
4669,3162.0,3162.0
4697,1542.0,1542.0
4776,887.0,887.0
4860,1598.0,1598.0
4867,1613.0,1613.0
4922,1447.0,1447.0
4938,3032.0,3032.0
4943,1701.0,1701.0
5017,3863.0,3863.0
5055,2490.0,2490.0
5065,2028.0,2028.0
5075,4559.0,4559.0
5107,489.0,489.0
5140,2256.0,2256.0
5143,2909.0,2909.0
5180,3276.0,3276.0
average_simulation_TD,1901.8181818181818,
