record_id,td_sim_0,record_atd
42,510.0,510.0
56,1766.0,1766.0
167,3851.0,3851.0
197,4269.0,4269.0
205,2601.0,2601.0
320,1647.0,1647.0
390,1294.0,1294.0
431,1515.0,1515.0
470,1612.0,1612.0
628,2747.0,2747.0
665,500.0,500.0
676,68.0,68.0
696,924.0,924.0
707,3410.0,3410.0
755,920.0,920.0
760,1609.0,1609.0
797,801.0,801.0
882,1945.0,1945.0
924,3923.0,3923.0
1126,881.0,881.0
1166,548.0,548.0
1330,3388.0,3388.0
1364,1009.0,1009.0
1416,3560.0,3560.0
1433,4579.0,4579.0
1441,3517.0,3517.0
1470,1483.0,1483.0
1534,1920.0,1920.0
1579,3813.0,3813.0
1600,571.0,571.0
1608,822.0,822.0
1666,1585.0,1585.0
1742,1254.0,1254.0
1758,1451.0,1451.0
1830,80.0,80.0
1863,816.0,816.0
1879,1516.0,1516.0
1929,2431.0,2431.0
1966,1112.0,1112.0
2060,3480.0,3480.0
2100,403.0,403.0
2195,2460.0,2460.0
2215,867.0,867.0
2268,657.0,657.0
2399,696.0,696.0
2468,948.0,948.0
2569,454.0,454.0
2659,5123.0,5123.0
2756,4431.0,4431.0
2785,1662.0,1662.0
2820,2263.0,2263.0
2822,888.0,888.0
2895,3370.0,3370.0
2934,1628.0,1628.0
2968,347.0,347.0
3013,661.0,661.0
3058,2836.0,2836.0
3221,555.0,555.0
3381,2332.0,2332.0
3549,1623.0,1623.0
3561,1930.0,1930.0
3590,257.0,257.0
3630,1014.0,1014.0
3698,4956.0,4956.0
3739,1885.0,1885.0
3770,690.0,690.0
3782,2927.0,2927.0
3788,2649.0,2649.0
3825,3312.0,3312.0
3843,1678.0,1678.0
3960,1396.0,1396.0
4005,11.0,11.0
4006,2430.0,2430.0
4042,262.0,262.0
4046,2039.0,2039.0
4085,564.0,564.0
4112,1776.0,1776.0
4117,352.0,352.0
4136,729.0,729.0
4183,1943.0,1943.0
4184,1338.0,1338.0
4193,3932.0,3932.0
4237,1218.0,1218.0
4305,2010.0,2010.0
4321,3730.0,3730.0
4353,2156.0,2156.0
4391,676.0,676.0
4394,1083.0,1083.0
4455,291.0,291.0
4533,3003.0,3003.0
4542,3341.0,3341.0
4553,1059.0,1059.0
4595,2777.0,2777.0
4653,2737.0,2737.0
4669,3641.0,3641.0
4697,1797.0,1797.0
4776,906.0,906.0
4860,1687.0,1687.0
4867,1699.0,1699.0
4922,1562.0,1562.0
4938,3421.0,3421.0
4943,1364.0,1364.0
5017,4008.0,4008.0
5055,846.0,846.0
5065,316.0,316.0
5075,4570.0,4570.0
5107,2340.0,2340.0
5140,2206.0,2206.0
5143,3099.0,3099.0
5180,2718.0,2718.0
average_simulation_TD,1893.3,
