record_id,td_sim_0,record_atd
18,719.0,719.0
28,403.0,403.0
60,862.0,862.0
70,46.0,46.0
100,509.0,509.0
107,185.0,185.0
111,389.0,389.0
116,77.0,77.0
117,145.0,145.0
129,1536.0,1536.0
132,878.0,878.0
137,720.0,720.0
168,69.0,69.0
169,1498.0,1498.0
171,1011.0,1011.0
188,475.0,475.0
200,292.0,292.0
201,124.0,124.0
205,274.0,274.0
218,86.0,86.0
219,1381.0,1381.0
222,805.0,805.0
226,775.0,775.0
232,1.0,1.0
235,783.0,783.0
236,541.0,541.0
245,63.0,63.0
252,75.0,75.0
253,170.0,170.0
264,853.0,853.0
265,1656.0,1656.0
269,96.0,96.0
282,95.0,95.0
293,477.0,477.0
318,65.0,65.0
319,604.0,604.0
332,47.0,47.0
340,41.0,41.0
346,1375.0,1375.0
347,122.0,122.0
361,14.0,14.0
365,342.0,342.0
369,319.0,319.0
378,1114.0,1114.0
401,405.0,405.0
415,49.0,49.0
418,131.0,131.0
429,35.0,35.0
432,1770.0,1770.0
436,221.0,221.0
438,493.0,493.0
446,82.0,82.0
472,1055.0,1055.0
475,1452.0,1452.0
479,686.0,686.0
482,115.0,115.0
483,884.0,884.0
505,835.0,835.0
520,42.0,42.0
525,398.0,398.0
528,135.0,135.0
533,52.0,52.0
538,251.0,251.0
554,334.0,334.0
564,670.0,670.0
566,995.0,995.0
567,1679.0,1679.0
574,567.0,567.0
589,901.0,901.0
594,822.0,822.0
597,841.0,841.0
601,57.0,57.0
604,1053.0,1053.0
610,915.0,915.0
613,881.0,881.0
616,37.0,37.0
621,526.0,526.0
626,219.0,219.0
635,791.0,791.0
649,802.0,802.0
669,796.0,796.0
676,827.0,827.0
693,997.0,997.0
695,62.0,62.0
697,1156.0,1156.0
722,946.0,946.0
726,132.0,132.0
729,1264.0,1264.0
732,260.0,260.0
734,1657.0,1657.0
736,285.0,285.0
754,650.0,650.0
773,1645.0,1645.0
804,401.0,401.0
810,309.0,309.0
814,445.0,445.0
819,1176.0,1176.0
826,112.0,112.0
829,1016.0,1016.0
834,896.0,896.0
837,241.0,241.0
848,1460.0,1460.0
849,781.0,781.0
862,910.0,910.0
870,1445.0,1445.0
887,113.0,113.0
888,200.0,200.0
898,1328.0,1328.0
906,266.0,266.0
912,546.0,546.0
921,1533.0,1533.0
940,106.0,106.0
946,190.0,190.0
952,842.0,842.0
954,162.0,162.0
969,393.0,393.0
976,412.0,412.0
982,70.0,70.0
994,143.0,143.0
1000,150.0,150.0
1004,1134.0,1134.0
1018,532.0,532.0
1020,773.0,773.0
1023,811.0,811.0
1032,1662.0,1662.0
1051,152.0,152.0
1057,215.0,215.0
1062,223.0,223.0
1073,1231.0,1231.0
1085,130.0,130.0
1088,2026.0,2026.0
1094,1712.0,1712.0
1098,839.0,839.0
1099,1277.0,1277.0
1102,157.0,157.0
1111,898.0,898.0
1117,890.0,890.0
1151,464.0,464.0
1152,2205.0,2205.0
1175,899.0,899.0
1180,1483.0,1483.0
1185,539.0,539.0
1191,415.0,415.0
1192,16.0,16.0
