record_id,td_sim_0,record_atd
18,794.0,794.0
28,30.0,30.0
60,768.0,768.0
70,65.0,65.0
100,430.0,430.0
107,281.0,281.0
111,32.0,32.0
116,63.0,63.0
117,158.0,158.0
129,1511.0,1511.0
132,698.0,698.0
137,737.0,737.0
168,95.0,95.0
169,1558.0,1558.0
171,1053.0,1053.0
188,510.0,510.0
200,351.0,351.0
201,116.0,116.0
205,350.0,350.0
218,122.0,122.0
219,1437.0,1437.0
222,785.0,785.0
226,623.0,623.0
232,1.0,1.0
235,602.0,602.0
236,288.0,288.0
245,84.0,84.0
252,100.0,100.0
253,275.0,275.0
264,844.0,844.0
265,1762.0,1762.0
269,115.0,115.0
282,106.0,106.0
293,438.0,438.0
318,110.0,110.0
319,583.0,583.0
332,72.0,72.0
340,66.0,66.0
346,1398.0,1398.0
347,146.0,146.0
361,12.0,12.0
365,393.0,393.0
369,336.0,336.0
378,1313.0,1313.0
401,284.0,284.0
415,76.0,76.0
418,121.0,121.0
429,59.0,59.0
432,1646.0,1646.0
436,260.0,260.0
438,547.0,547.0
446,109.0,109.0
472,1190.0,1190.0
475,1283.0,1283.0
479,982.0,982.0
482,135.0,135.0
483,946.0,946.0
505,897.0,897.0
520,74.0,74.0
525,46.0,46.0
528,144.0,144.0
533,82.0,82.0
538,286.0,286.0
554,386.0,386.0
564,598.0,598.0
566,1104.0,1104.0
567,1619.0,1619.0
574,621.0,621.0
589,1004.0,1004.0
594,825.0,825.0
597,822.0,822.0
601,80.0,80.0
604,820.0,820.0
610,761.0,761.0
613,783.0,783.0
616,225.0,225.0
621,638.0,638.0
626,241.0,241.0
635,773.0,773.0
649,815.0,815.0
669,989.0,989.0
676,835.0,835.0
693,912.0,912.0
695,79.0,79.0
697,1538.0,1538.0
722,1174.0,1174.0
726,153.0,153.0
729,1423.0,1423.0
732,345.0,345.0
734,1510.0,1510.0
736,371.0,371.0
754,606.0,606.0
773,1464.0,1464.0
804,37.0,37.0
810,320.0,320.0
814,522.0,522.0
819,1120.0,1120.0
826,139.0,139.0
829,649.0,649.0
834,871.0,871.0
837,217.0,217.0
848,1286.0,1286.0
849,750.0,750.0
862,857.0,857.0
870,1389.0,1389.0
887,152.0,152.0
888,271.0,271.0
898,1428.0,1428.0
906,219.0,219.0
912,591.0,591.0
921,1230.0,1230.0
940,118.0,118.0
946,50.0,50.0
952,848.0,848.0
954,179.0,179.0
969,537.0,537.0
976,499.0,499.0
982,86.0,86.0
994,191.0,191.0
1000,206.0,206.0
1004,867.0,867.0
1018,486.0,486.0
1020,597.0,597.0
1023,791.0,791.0
1032,1693.0,1693.0
1051,201.0,201.0
1057,234.0,234.0
1062,243.0,243.0
1073,1158.0,1158.0
1085,203.0,203.0
1088,2216.0,2216.0
1094,1805.0,1805.0
1098,833.0,833.0
1099,1265.0,1265.0
1102,160.0,160.0
1111,1051.0,1051.0
1117,854.0,854.0
1151,423.0,423.0
1152,2028.0,2028.0
1175,951.0,951.0
1180,1643.0,1643.0
1185,582.0,582.0
1191,542.0,542.0
1192,27.0,27.0
1193,352.0,352.0
1199,513.0,513.0
1200,120.0,120.0
1202,932.0,932.0
1210,1161.0,1161.0
1224,631.0,631.0
1226,218.0,218.0
1234,758.0,758.0
1243,62.0,62.0
1246,625.0,625.0
1248,1751.0,1751.0
1249,161.0,161.0
1250,936.0,936.0
1262,399.0,399.0
1264,145.0,145.0
1273,1298.0,1298.0
1276,504.0,504.0
1277,293.0,293.0
1282,178.0,178.0
1293,138.0,138.0
1304,1923.0,1923.0
1309,801.0,801.0
1331,1366.0,1366.0
1336,485.0,485.0
1339,212.0,212.0
1344,300.0,300.0
1351,71.0,71.0
1354,1519.0,1519.0
1371,1144.0,1144.0
1378,458.0,458.0
1382,1310.0,1310.0
1389,69.0,69.0
1401,956.0,956.0
1403,615.0,615.0
1409,1007.0,1007.0
1415,407.0,407.0
1418,450.0,450.0
1430,184.0,184.0
1434,83.0,83.0
1439,52.0,52.0
1454,140.0,140.0
1456,302.0,302.0
1463,633.0,633.0
1467,133.0,133.0
1468,452.0,452.0
1477,576.0,576.0
1491,230.0,230.0
1502,177.0,177.0
1515,385.0,385.0
1516,142.0,142.0
1519,1126.0,1126.0
1521,907.0,907.0
1545,1091.0,1091.0
1566,18.0,18.0
1569,719.0,719.0
1582,297.0,297.0
1584,1305.0,1305.0
1586,31.0,31.0
1591,1823.0,1823.0
1592,164.0,164.0
1595,411.0,411.0
1608,842.0,842.0
1628,1116.0,1116.0
1633,967.0,967.0
1640,1635.0,1635.0
1642,157.0,157.0
1648,949.0,949.0
1649,2113.0,2113.0
1652,1376.0,1376.0
1653,223.0,223.0
1656,77.0,77.0
1674,1733.0,1733.0
1675,2440.0,2440.0
1676,200.0,200.0
1678,445.0,445.0
1684,246.0,246.0
1700,821.0,821.0
1717,10.0,10.0
1719,125.0,125.0
1720,387.0,387.0
1755,471.0,471.0
1757,1108.0,1108.0
1767,290.0,290.0
1792,39.0,39.0
1806,1451.0,1451.0
1809,792.0,792.0
1829,813.0,813.0
1835,303.0,303.0
1837,194.0,194.0
1862,775.0,775.0
1864,315.0,315.0
1877,944.0,944.0
1886,1804.0,1804.0
1889,344.0,344.0
1895,395.0,395.0
1900,61.0,61.0
1905,365.0,365.0
1923,722.0,722.0
1935,42.0,42.0
1936,105.0,105.0
1939,319.0,319.0
1940,299.0,299.0
1944,187.0,187.0
1948,1354.0,1354.0
1950,1346.0,1346.0
1963,48.0,48.0
1967,629.0,629.0
1971,1491.0,1491.0
1978,1188.0,1188.0
1987,353.0,353.0
2015,1013.0,1013.0
2029,75.0,75.0
2040,986.0,986.0
2068,11.0,11.0
2073,676.0,676.0
2080,165.0,165.0
2083,553.0,553.0
2085,258.0,258.0
2088,44.0,44.0
2127,1441.0,1441.0
2152,863.0,863.0
2162,674.0,674.0
2174,614.0,614.0
2179,361.0,361.0
2191,313.0,313.0
2196,235.0,235.0
2200,4.0,4.0
2206,169.0,169.0
2224,1343.0,1343.0
2228,1183.0,1183.0
2231,1359.0,1359.0
2232,448.0,448.0
2233,292.0,292.0
2239,2.0,2.0
2245,493.0,493.0
2249,368.0,368.0
2254,1115.0,1115.0
2256,341.0,341.0
2261,757.0,757.0
2262,1469.0,1469.0
2264,541.0,541.0
2270,422.0,422.0
2283,68.0,68.0
2301,754.0,754.0
2310,990.0,990.0
2321,382.0,382.0
2330,697.0,697.0
2342,558.0,558.0
2343,70.0,70.0
2366,127.0,127.0
2377,601.0,601.0
2383,363.0,363.0
2385,891.0,891.0
2392,239.0,239.0
2413,400.0,400.0
2418,779.0,779.0
2424,141.0,141.0
2435,570.0,570.0
2442,256.0,256.0
2458,356.0,356.0
2460,117.0,117.0
2465,506.0,506.0
2470,1133.0,1133.0
2484,151.0,151.0
2492,1822.0,1822.0
2499,227.0,227.0
2503,890.0,890.0
2505,222.0,222.0
2507,73.0,73.0
2527,78.0,78.0
2529,193.0,193.0
2537,104.0,104.0
2541,8.0,8.0
2544,463.0,463.0
2559,846.0,846.0
2563,716.0,716.0
2567,1131.0,1131.0
2568,421.0,421.0
2575,1815.0,1815.0
2581,21.0,21.0
2597,1928.0,1928.0
2599,695.0,695.0
2601,1169.0,1169.0
2602,941.0,941.0
2609,231.0,231.0
