record_id,td_sim_0,record_atd
2,49.0,49.0
12,55.0,55.0
17,6.0,6.0
21,25.0,25.0
23,141.0,141.0
27,35.0,35.0
28,64.0,64.0
30,122.0,122.0
31,68.0,68.0
33,149.0,149.0
38,21.0,21.0
49,125.0,125.0
57,60.0,60.0
59,19.0,19.0
62,177.0,177.0
64,129.0,129.0
72,119.0,119.0
73,9.0,9.0
82,11.0,11.0
97,72.0,72.0
104,154.0,154.0
108,20.0,20.0
110,104.0,104.0
114,98.0,98.0
115,76.0,76.0
116,3.0,3.0
127,152.0,152.0
135,37.0,37.0
138,92.0,92.0
139,73.0,73.0
143,66.0,66.0
150,10.0,10.0
161,194.0,194.0
164,268.0,268.0
168,121.0,121.0
172,123.0,123.0
173,126.0,126.0
174,71.0,71.0
175,16.0,16.0
183,131.0,131.0
187,26.0,26.0
189,118.0,118.0
193,2.0,2.0
196,210.0,210.0
205,115.0,115.0
209,15.0,15.0
215,197.0,197.0
222,209.0,209.0
231,12.0,12.0
240,160.0,160.0
242,134.0,134.0
243,144.0,144.0
247,46.0,46.0
249,41.0,41.0
263,151.0,151.0
265,54.0,54.0
266,24.0,24.0
275,30.0,30.0
278,45.0,45.0
279,36.0,36.0
282,270.0,270.0
283,14.0,14.0
286,65.0,65.0
287,42.0,42.0
289,32.0,32.0
294,168.0,168.0
298,31.0,31.0
300,81.0,81.0
307,38.0,38.0
310,111.0,111.0
314,8.0,8.0
318,166.0,166.0
322,112.0,112.0
344,52.0,52.0
345,33.0,33.0
350,50.0,50.0
353,159.0,159.0
357,85.0,85.0
358,17.0,17.0
average_simulation_TD,84.73417721518987,
