record_id,td_sim_0,record_atd
2,43.0,43.0
12,61.0,61.0
17,32.0,32.0
21,21.0,21.0
23,171.0,171.0
27,38.0,38.0
28,66.0,66.0
30,111.0,111.0
31,73.0,73.0
33,160.0,160.0
38,19.0,19.0
49,82.0,82.0
57,45.0,45.0
59,12.0,12.0
62,139.0,139.0
64,141.0,141.0
72,140.0,140.0
73,144.0,144.0
82,10.0,10.0
97,78.0,78.0
104,117.0,117.0
108,8.0,8.0
110,128.0,128.0
114,107.0,107.0
115,89.0,89.0
116,3.0,3.0
127,181.0,181.0
135,17.0,17.0
138,92.0,92.0
139,72.0,72.0
143,63.0,63.0
150,53.0,53.0
161,177.0,177.0
164,255.0,255.0
168,131.0,131.0
172,109.0,109.0
173,95.0,95.0
174,71.0,71.0
175,30.0,30.0
183,148.0,148.0
187,23.0,23.0
189,103.0,103.0
193,2.0,2.0
196,212.0,212.0
205,136.0,136.0
209,18.0,18.0
215,229.0,229.0
222,118.0,118.0
231,6.0,6.0
240,125.0,125.0
242,162.0,162.0
243,182.0,182.0
247,34.0,34.0
249,41.0,41.0
263,183.0,183.0
265,56.0,56.0
266,36.0,36.0
275,31.0,31.0
278,54.0,54.0
279,25.0,25.0
282,262.0,262.0
283,13.0,13.0
286,64.0,64.0
287,16.0,16.0
289,33.0,33.0
294,130.0,130.0
298,37.0,37.0
300,85.0,85.0
307,27.0,27.0
310,87.0,87.0
314,7.0,7.0
318,200.0,200.0
322,83.0,83.0
344,51.0,51.0
345,24.0,24.0
350,60.0,60.0
353,165.0,165.0
357,52.0,52.0
358,11.0,11.0
average_simulation_TD,85.0,
