record_id,td_sim_0,record_atd
88,103.0,103.0
400,202.0,202.0
466,106.0,106.0
490,123.0,123.0
542,131.0,131.0
588,108.0,108.0
624,56.0,56.0
733,141.0,141.0
734,124.0,124.0
753,75.0,75.0
758,90.0,90.0
1395,281.0,281.0
1405,133.0,133.0
1889,73.0,73.0
1892,74.0,74.0
1960,111.0,111.0
2011,43.0,43.0
2256,64.0,64.0
2378,199.0,199.0
2399,421.0,421.0
2476,107.0,107.0
2642,59.0,59.0
2771,95.0,95.0
3146,153.0,153.0
3190,98.0,98.0
3235,324.0,324.0
3381,48.0,48.0
3534,129.0,129.0
3626,54.0,54.0
3938,181.0,181.0
4062,117.0,117.0
4247,61.0,61.0
4427,277.0,277.0
4598,52.0,52.0
4603,36.0,36.0
4835,551.0,551.0
4851,44.0,44.0
4934,160.0,160.0
5000,132.0,132.0
5044,109.0,109.0
5157,47.0,47.0
5343,89.0,89.0
5397,136.0,136.0
5506,81.0,81.0
5669,535.0,535.0
5760,212.0,212.0
5805,305.0,305.0
average_simulation_TD,145.74468085106383,
