record_id,td_sim_0,record_atd
88,121.0,121.0
400,192.0,192.0
466,494.0,494.0
490,172.0,172.0
542,157.0,157.0
588,139.0,139.0
624,103.0,103.0
733,190.0,190.0
734,152.0,152.0
753,74.0,74.0
758,86.0,86.0
1395,88.0,88.0
1405,173.0,173.0
1889,90.0,90.0
1892,124.0,124.0
1960,141.0,141.0
2011,62.0,62.0
2256,94.0,94.0
2378,177.0,177.0
2399,506.0,506.0
2476,131.0,131.0
2642,80.0,80.0
2771,107.0,107.0
3146,178.0,178.0
3190,148.0,148.0
3235,248.0,248.0
3381,64.0,64.0
3534,208.0,208.0
3626,75.0,75.0
3938,158.0,158.0
4062,145.0,145.0
4247,81.0,81.0
4427,358.0,358.0
4598,79.0,79.0
4603,56.0,56.0
4835,569.0,569.0
4851,69.0,69.0
4934,175.0,175.0
5000,151.0,151.0
5044,125.0,125.0
5157,68.0,68.0
5343,147.0,147.0
5397,176.0,176.0
5506,135.0,135.0
5669,376.0,376.0
5760,194.0,194.0
5805,315.0,315.0
average_simulation_TD,169.17021276595744,
