record_id,td_sim_0,record_atd
0,37.0,37.0
10,23.0,23.0
12,59.0,59.0
15,87.0,87.0
19,222.0,222.0
23,75.0,75.0
27,42.0,42.0
34,143.0,143.0
39,21.0,21.0
42,1.0,1.0
59,224.0,224.0
63,13.0,13.0
66,141.0,141.0
77,39.0,39.0
95,30.0,30.0
101,103.0,103.0
104,159.0,159.0
107,35.0,35.0
115,177.0,177.0
119,93.0,93.0
124,40.0,40.0
125,52.0,52.0
126,237.0,237.0
159,3.0,3.0
160,118.0,118.0
176,213.0,213.0
190,17.0,17.0
199,170.0,170.0
206,20.0,20.0
211,54.0,54.0
212,41.0,41.0
215,130.0,130.0
245,71.0,71.0
249,47.0,47.0
250,69.0,69.0
253,92.0,92.0
255,32.0,32.0
256,134.0,134.0
259,14.0,14.0
average_simulation_TD,84.05128205128206,
