record_id,td_sim_0,record_atd
0,34.0,34.0
10,15.0,15.0
12,38.0,38.0
15,14.0,14.0
19,227.0,227.0
23,85.0,85.0
27,33.0,33.0
34,141.0,141.0
39,31.0,31.0
42,1.0,1.0
59,253.0,253.0
63,17.0,17.0
66,136.0,136.0
77,49.0,49.0
95,26.0,26.0
101,90.0,90.0
104,188.0,188.0
107,51.0,51.0
115,206.0,206.0
119,92.0,92.0
124,52.0,52.0
125,54.0,54.0
126,229.0,229.0
159,3.0,3.0
160,125.0,125.0
176,198.0,198.0
190,28.0,28.0
199,189.0,189.0
206,44.0,44.0
211,53.0,53.0
212,25.0,25.0
215,143.0,143.0
245,66.0,66.0
249,59.0,59.0
250,71.0,71.0
253,62.0,62.0
255,39.0,39.0
256,142.0,142.0
259,13.0,13.0
average_simulation_TD,85.17948717948718,
