record_id,td_sim_0,record_atd
9,1088.0,1088.0
25,1772.0,1772.0
56,585.0,585.0
100,8052.0,8052.0
390,215.0,215.0
501,1526.0,1526.0
733,14516.0,14516.0
743,217.0,217.0
746,21619.0,21619.0
802,1251.0,1251.0
862,3956.0,3956.0
936,777.0,777.0
1031,510.0,510.0
1068,107.0,107.0
1149,4176.0,4176.0
1168,25819.0,25819.0
1179,957.0,957.0
1313,620.0,620.0
1448,18663.0,18663.0
1481,536.0,536.0
1499,2018.0,2018.0
1661,140.0,140.0
1721,249.0,249.0
1783,1473.0,1473.0
1887,158.0,158.0
1970,17150.0,17150.0
2041,3157.0,3157.0
2095,30115.0,30115.0
2147,11168.0,11168.0
2176,672.0,672.0
2246,4988.0,4988.0
2433,3528.0,3528.0
2499,10377.0,10377.0
2614,5994.0,5994.0
2657,229.0,229.0
2691,399.0,399.0
2722,888.0,888.0
2781,5474.0,5474.0
3194,181.0,181.0
3356,4216.0,4216.0
3513,4839.0,4839.0
3535,1631.0,1631.0
3679,994.0,994.0
3856,187.0,187.0
4073,6885.0,6885.0
4150,602.0,602.0
4186,3638.0,3638.0
4196,656.0,656.0
4240,8060.0,8060.0
4287,7364.0,7364.0
4378,7415.0,7415.0
4408,6258.0,6258.0
4410,6307.0,6307.0
4595,3184.0,3184.0
4623,3209.0,3209.0
4664,20151.0,20151.0
4723,3647.0,3647.0
4827,3415.0,3415.0
4902,1699.0,1699.0
4917,2370.0,2370.0
5001,408.0,408.0
5068,9729.0,9729.0
5337,127.0,127.0
5363,3552.0,3552.0
5400,96.0,96.0
5405,41.0,41.0
5455,259.0,259.0
5460,2283.0,2283.0
5463,2001.0,2001.0
5474,8981.0,8981.0
5615,188.0,188.0
5618,5453.0,5453.0
5626,7603.0,7603.0
5688,3263.0,3263.0
5829,331.0,331.0
5869,402.0,402.0
5969,1011.0,1011.0
6096,162.0,162.0
6132,4107.0,4107.0
6182,232.0,232.0
6297,4622.0,4622.0
6338,1686.0,1686.0
6371,21830.0,21830.0
6475,3205.0,3205.0
6581,17245.0,17245.0
6820,3519.0,3519.0
6822,16663.0,16663.0
6825,7617.0,7617.0
6847,962.0,962.0
6898,207.0,207.0
6916,125.0,125.0
6938,2355.0,2355.0
6967,298.0,298.0
7219,4612.0,4612.0
7340,2137.0,2137.0
7349,427.0,427.0
7370,1307.0,1307.0
7403,290.0,290.0
7420,1283.0,1283.0
7422,6501.0,6501.0
7439,2619.0,2619.0
7582,98.0,98.0
7620,163.0,163.0
7659,9889.0,9889.0
7664,15816.0,15816.0
7695,29604.0,29604.0
7720,2184.0,2184.0
7751,744.0,744.0
7861,353.0,353.0
7902,392.0,392.0
8186,14212.0,14212.0
8225,938.0,938.0
8240,11326.0,11326.0
8318,2495.0,2495.0
8350,27127.0,27127.0
8352,7110.0,7110.0
8484,2730.0,2730.0
8505,425.0,425.0
8511,582.0,582.0
8547,171.0,171.0
8560,794.0,794.0
8762,26891.0,26891.0
8768,291.0,291.0
8895,1458.0,1458.0
8923,3162.0,3162.0
9213,6475.0,6475.0
9265,767.0,767.0
9278,1162.0,1162.0
9283,108.0,108.0
9432,312.0,312.0
9449,1447.0,1447.0
9480,177.0,177.0
9519,5522.0,5522.0
9571,3629.0,3629.0
9862,4537.0,4537.0
9875,4425.0,4425.0
9900,18349.0,18349.0
9998,4095.0,4095.0
10056,3890.0,3890.0
10105,1853.0,1853.0
10184,152.0,152.0
10205,1271.0,1271.0
10266,556.0,556.0
10345,1186.0,1186.0
10395,666.0,666.0
10440,3912.0,3912.0
10444,168.0,168.0
10447,7174.0,7174.0
10448,12045.0,12045.0
10458,313.0,313.0
10805,7554.0,7554.0
10880,4950.0,4950.0
10890,2760.0,2760.0
10904,149.0,149.0
10937,27629.0,27629.0
11080,2565.0,2565.0
11101,865.0,865.0
11129,5224.0,5224.0
11161,8784.0,8784.0
11198,219.0,219.0
11278,2019.0,2019.0
11288,577.0,577.0
11290,2302.0,2302.0
11337,133.0,133.0
11357,214.0,214.0
11449,831.0,831.0
11524,20774.0,20774.0
11562,11972.0,11972.0
11613,221.0,221.0
11724,3842.0,3842.0
11805,2832.0,2832.0
11853,448.0,448.0
11856,159.0,159.0
12104,1878.0,1878.0
12117,1465.0,1465.0
12325,2366.0,2366.0
12438,3450.0,3450.0
12472,109.0,109.0
12506,1823.0,1823.0
12607,24398.0,24398.0
12628,3456.0,3456.0
12652,512.0,512.0
12688,8536.0,8536.0
12699,323.0,323.0
12886,146.0,146.0
12894,94.0,94.0
12949,21074.0,21074.0
12950,8564.0,8564.0
12953,2135.0,2135.0
13019,1210.0,1210.0
13028,324.0,324.0
13074,231.0,231.0
13124,19258.0,19258.0
13136,9608.0,9608.0
13305,1261.0,1261.0
13334,3200.0,3200.0
13418,143.0,143.0
13528,8892.0,8892.0
13535,455.0,455.0
13564,10861.0,10861.0
13570,5921.0,5921.0
13616,435.0,435.0
13619,3525.0,3525.0
13659,354.0,354.0
13672,1320.0,1320.0
13831,605.0,605.0
13882,17388.0,17388.0
13925,735.0,735.0
14056,340.0,340.0
14141,78.0,78.0
14176,100.0,100.0
14292,722.0,722.0
14335,868.0,868.0
14372,1851.0,1851.0
14479,14651.0,14651.0
14505,1642.0,1642.0
14553,698.0,698.0
14862,25655.0,25655.0
14912,2594.0,2594.0
14942,89.0,89.0
14979,4949.0,4949.0
14987,10327.0,10327.0
14988,23212.0,23212.0
15064,772.0,772.0
15222,879.0,879.0
15250,1613.0,1613.0
15256,1780.0,1780.0
15381,7399.0,7399.0
