record_id,td_sim_0,record_atd
9,1055.0,1055.0
25,1093.0,1093.0
56,393.0,393.0
100,7735.0,7735.0
390,148.0,148.0
501,1633.0,1633.0
733,11813.0,11813.0
743,167.0,167.0
746,20624.0,20624.0
802,1241.0,1241.0
862,4125.0,4125.0
936,711.0,711.0
1031,588.0,588.0
1068,83.0,83.0
1149,3888.0,3888.0
1168,25570.0,25570.0
1179,1040.0,1040.0
1313,476.0,476.0
1448,17801.0,17801.0
1481,329.0,329.0
1499,2745.0,2745.0
1661,159.0,159.0
1721,264.0,264.0
1783,1895.0,1895.0
1887,96.0,96.0
1970,17767.0,17767.0
2041,3269.0,3269.0
2095,29398.0,29398.0
2147,12762.0,12762.0
2176,707.0,707.0
2246,3729.0,3729.0
2433,3902.0,3902.0
2499,13120.0,13120.0
2614,7556.0,7556.0
2657,189.0,189.0
2691,629.0,629.0
2722,1306.0,1306.0
2781,5865.0,5865.0
3194,155.0,155.0
3356,4597.0,4597.0
3513,5648.0,5648.0
3535,1507.0,1507.0
3679,872.0,872.0
3856,228.0,228.0
4073,8597.0,8597.0
4150,577.0,577.0
4186,3712.0,3712.0
4196,766.0,766.0
4240,6245.0,6245.0
4287,5525.0,5525.0
4378,8172.0,8172.0
4408,5766.0,5766.0
4410,7102.0,7102.0
4595,4091.0,4091.0
4623,3787.0,3787.0
4664,20637.0,20637.0
4723,3805.0,3805.0
4827,3785.0,3785.0
4902,2158.0,2158.0
4917,1972.0,1972.0
5001,368.0,368.0
5068,10237.0,10237.0
5337,95.0,95.0
5363,4371.0,4371.0
5400,82.0,82.0
5405,14224.0,14224.0
5455,284.0,284.0
5460,2131.0,2131.0
5463,2409.0,2409.0
5474,9869.0,9869.0
5615,100.0,100.0
5618,2225.0,2225.0
5626,8553.0,8553.0
5688,4451.0,4451.0
5829,253.0,253.0
5869,660.0,660.0
5969,1042.0,1042.0
6096,154.0,154.0
6132,3841.0,3841.0
6182,166.0,166.0
6297,4890.0,4890.0
6338,1414.0,1414.0
6371,21480.0,21480.0
6475,2440.0,2440.0
6581,17959.0,17959.0
6820,3906.0,3906.0
6822,19470.0,19470.0
6825,8559.0,8559.0
6847,1225.0,1225.0
6898,179.0,179.0
6916,86.0,86.0
6938,2484.0,2484.0
6967,332.0,332.0
7219,5296.0,5296.0
7340,2041.0,2041.0
7349,459.0,459.0
7370,1503.0,1503.0
7403,344.0,344.0
7420,1511.0,1511.0
7422,4341.0,4341.0
7439,2044.0,2044.0
7582,77.0,77.0
7620,143.0,143.0
7659,10921.0,10921.0
7664,16465.0,16465.0
7695,28412.0,28412.0
7720,2784.0,2784.0
7751,1324.0,1324.0
7861,260.0,260.0
7902,364.0,364.0
8186,12014.0,12014.0
8225,795.0,795.0
8240,11671.0,11671.0
8318,990.0,990.0
8350,28266.0,28266.0
8352,7457.0,7457.0
8484,3087.0,3087.0
8505,413.0,413.0
8511,477.0,477.0
8547,150.0,150.0
8560,661.0,661.0
8762,26531.0,26531.0
8768,210.0,210.0
8895,1135.0,1135.0
8923,2243.0,2243.0
9213,8058.0,8058.0
9265,682.0,682.0
9278,869.0,869.0
9283,67.0,67.0
9432,295.0,295.0
9449,1648.0,1648.0
9480,200.0,200.0
9519,4290.0,4290.0
9571,3416.0,3416.0
9862,4700.0,4700.0
9875,6096.0,6096.0
9900,19479.0,19479.0
9998,3834.0,3834.0
10056,3050.0,3050.0
10105,1714.0,1714.0
10184,122.0,122.0
10205,1013.0,1013.0
10266,703.0,703.0
10345,1044.0,1044.0
10395,237.0,237.0
10440,3864.0,3864.0
10444,147.0,147.0
10447,7474.0,7474.0
10448,12569.0,12569.0
10458,451.0,451.0
10805,8375.0,8375.0
10880,5037.0,5037.0
10890,3195.0,3195.0
10904,116.0,116.0
