record_id,td_sim_0,record_atd
54,116.0,116.0
98,61.0,61.0
143,206.0,206.0
232,166.0,166.0
383,95.0,95.0
420,33.0,33.0
478,18.0,18.0
640,120.0,120.0
815,93.0,93.0
858,94.0,94.0
898,171.0,171.0
936,103.0,103.0
1015,15.0,15.0
1042,75.0,75.0
1145,140.0,140.0
1184,162.0,162.0
1246,78.0,78.0
1289,25.0,25.0
1405,99.0,99.0
1412,427.0,427.0
1632,901.0,901.0
1650,522.0,522.0
1779,108.0,108.0
1878,55.0,55.0
1893,30.0,30.0
1903,100.0,100.0
1927,106.0,106.0
1988,123.0,123.0
2047,148.0,148.0
2126,232.0,232.0
2127,3.0,3.0
2226,1353.0,1353.0
2337,29.0,29.0
2404,10.0,10.0
2409,42.0,42.0
2512,8.0,8.0
2543,5.0,5.0
2696,400.0,400.0
2720,265.0,265.0
2808,23.0,23.0
2849,183.0,183.0
2944,216.0,216.0
2961,477.0,477.0
2978,1076.0,1076.0
3023,656.0,656.0
3040,27.0,27.0
3086,694.0,694.0
3372,88.0,88.0
3382,74.0,74.0
3447,69.0,69.0
3475,31.0,31.0
3523,199.0,199.0
3538,60.0,60.0
3594,261.0,261.0
3901,1741.0,1741.0
3967,160.0,160.0
3997,101.0,101.0
4016,24.0,24.0
4080,1854.0,1854.0
4105,81.0,81.0
4124,158.0,158.0
4137,1541.0,1541.0
4323,290.0,290.0
4382,12.0,12.0
4447,1144.0,1144.0
4485,14.0,14.0
4561,22.0,22.0
4639,63.0,63.0
4730,11.0,11.0
4769,107.0,107.0
4848,91.0,91.0
4867,252.0,252.0
5020,84.0,84.0
5041,57.0,57.0
5088,186.0,186.0
5134,110.0,110.0
5173,124.0,124.0
5258,79.0,79.0
5480,231.0,231.0
5488,56.0,56.0
5509,1244.0,1244.0
5514,419.0,419.0
5634,1138.0,1138.0
5744,633.0,633.0
5837,2160.0,2160.0
5843,576.0,576.0
5897,155.0,155.0
6028,52.0,52.0
6108,26.0,26.0
6110,629.0,629.0
6137,130.0,130.0
6277,145.0,145.0
6329,437.0,437.0
6364,85.0,85.0
6375,21.0,21.0
6546,344.0,344.0
6689,16.0,16.0
6712,424.0,424.0
6754,76.0,76.0
6880,64.0,64.0
7087,182.0,182.0
7129,72.0,72.0
7177,102.0,102.0
7228,17.0,17.0
7247,550.0,550.0
7251,788.0,788.0
7273,1081.0,1081.0
7604,514.0,514.0
7630,34.0,34.0
7633,50.0,50.0
average_simulation_TD,287.5272727272727,
