record_id,td_sim_0,record_atd
54,97.0,97.0
98,43.0,43.0
143,236.0,236.0
232,171.0,171.0
383,73.0,73.0
420,23.0,23.0
478,46.0,46.0
640,78.0,78.0
815,59.0,59.0
858,64.0,64.0
898,115.0,115.0
936,71.0,71.0
1015,14.0,14.0
1042,58.0,58.0
1145,122.0,122.0
1184,175.0,175.0
1246,69.0,69.0
1289,138.0,138.0
1405,180.0,180.0
1412,274.0,274.0
1632,700.0,700.0
1650,288.0,288.0
1779,17.0,17.0
1878,33.0,33.0
1893,112.0,112.0
1903,77.0,77.0
1927,85.0,85.0
1988,107.0,107.0
2047,154.0,154.0
2126,190.0,190.0
2127,4.0,4.0
2226,1290.0,1290.0
2337,159.0,159.0
2404,7.0,7.0
2409,136.0,136.0
2512,16.0,16.0
2543,6.0,6.0
2696,326.0,326.0
2720,444.0,444.0
2808,20.0,20.0
2849,106.0,106.0
2944,336.0,336.0
2961,395.0,395.0
2978,935.0,935.0
3023,684.0,684.0
3040,15.0,15.0
3086,387.0,387.0
3372,57.0,57.0
3382,52.0,52.0
3447,72.0,72.0
3475,25.0,25.0
3523,225.0,225.0
3538,44.0,44.0
3594,239.0,239.0
3901,1803.0,1803.0
3967,127.0,127.0
3997,56.0,56.0
4016,45.0,45.0
4080,1840.0,1840.0
4105,65.0,65.0
4124,162.0,162.0
4137,1442.0,1442.0
4323,235.0,235.0
4382,13.0,13.0
4447,987.0,987.0
4485,10.0,10.0
4561,12.0,12.0
4639,37.0,37.0
4730,18.0,18.0
4769,111.0,111.0
4848,61.0,61.0
4867,231.0,231.0
5020,80.0,80.0
5041,40.0,40.0
5088,232.0,232.0
5134,104.0,104.0
5173,105.0,105.0
5258,66.0,66.0
5480,234.0,234.0
5488,31.0,31.0
5509,1295.0,1295.0
5514,262.0,262.0
5634,992.0,992.0
5744,264.0,264.0
5837,2323.0,2323.0
5843,442.0,442.0
5897,201.0,201.0
6028,41.0,41.0
6108,21.0,21.0
6110,938.0,938.0
6137,101.0,101.0
6277,110.0,110.0
6329,368.0,368.0
6364,48.0,48.0
6375,5.0,5.0
6546,304.0,304.0
6689,11.0,11.0
6712,363.0,363.0
6754,47.0,47.0
6880,35.0,35.0
7087,196.0,196.0
7129,53.0,53.0
7177,63.0,63.0
7228,121.0,121.0
7247,160.0,160.0
7251,675.0,675.0
7273,942.0,942.0
7604,279.0,279.0
7630,68.0,68.0
7633,39.0,39.0
average_simulation_TD,261.4818181818182,
