record_id,td_sim_0,record_atd
21,67.0,67.0
42,889.0,889.0
45,348.0,348.0
107,214.0,214.0
124,1128.0,1128.0
256,750.0,750.0
497,85.0,85.0
498,347.0,347.0
564,336.0,336.0
753,176.0,176.0
996,867.0,867.0
1214,381.0,381.0
1345,18.0,18.0
1478,22.0,22.0
1564,121.0,121.0
1565,210.0,210.0
1597,1411.0,1411.0
1664,122.0,122.0
1713,2861.0,2861.0
1794,890.0,890.0
2408,128.0,128.0
2597,1976.0,1976.0
2672,266.0,266.0
2707,1497.0,1497.0
2803,173.0,173.0
2812,201.0,201.0
3020,927.0,927.0
3108,4633.0,4633.0
3158,317.0,317.0
3162,4292.0,4292.0
3286,511.0,511.0
3386,275.0,275.0
3432,117.0,117.0
3522,1876.0,1876.0
3824,103.0,103.0
4009,202.0,202.0
4079,146.0,146.0
4309,1701.0,1701.0
4943,203.0,203.0
5127,147.0,147.0
5230,141.0,141.0
5238,139.0,139.0
5333,376.0,376.0
5378,696.0,696.0
5414,1726.0,1726.0
5823,891.0,891.0
5852,132.0,132.0
6020,5.0,5.0
6035,245.0,245.0
6045,273.0,273.0
6441,358.0,358.0
6643,20.0,20.0
6738,131.0,131.0
6793,153.0,153.0
7008,212.0,212.0
7052,120.0,120.0
7151,5043.0,5043.0
7154,709.0,709.0
7191,850.0,850.0
7246,47.0,47.0
7407,470.0,470.0
7489,138.0,138.0
7693,133.0,133.0
7768,295.0,295.0
7774,130.0,130.0
7980,68.0,68.0
8617,2438.0,2438.0
8635,46.0,46.0
8665,577.0,577.0
8830,1577.0,1577.0
9072,1581.0,1581.0
average_simulation_TD,713.4366197183099,
