record_id,td_sim_0,record_atd
21,47.0,47.0
42,207.0,207.0
45,527.0,527.0
107,284.0,284.0
124,1232.0,1232.0
256,591.0,591.0
497,63.0,63.0
498,957.0,957.0
564,532.0,532.0
753,255.0,255.0
996,764.0,764.0
1214,67.0,67.0
1345,20.0,20.0
1478,23.0,23.0
1564,277.0,277.0
1565,281.0,281.0
1597,1601.0,1601.0
1664,322.0,322.0
1713,2654.0,2654.0
1794,1121.0,1121.0
2408,108.0,108.0
2597,1900.0,1900.0
2672,618.0,618.0
2707,1272.0,1272.0
2803,342.0,342.0
2812,254.0,254.0
3020,939.0,939.0
3108,5036.0,5036.0
3158,335.0,335.0
3162,5271.0,5271.0
3286,170.0,170.0
3386,417.0,417.0
3432,266.0,266.0
3522,1544.0,1544.0
3824,332.0,332.0
4009,337.0,337.0
4079,268.0,268.0
4309,1330.0,1330.0
4943,272.0,272.0
5127,275.0,275.0
5230,263.0,263.0
5238,294.0,294.0
5333,616.0,616.0
5378,539.0,539.0
5414,985.0,985.0
5823,1131.0,1131.0
5852,242.0,242.0
6020,5.0,5.0
6035,400.0,400.0
6045,246.0,246.0
6441,84.0,84.0
6643,21.0,21.0
6738,259.0,259.0
6793,297.0,297.0
7008,264.0,264.0
7052,111.0,111.0
7151,4763.0,4763.0
7154,554.0,554.0
7191,690.0,690.0
7246,29.0,29.0
7407,381.0,381.0
7489,261.0,261.0
7693,251.0,251.0
7768,104.0,104.0
7774,252.0,252.0
7980,230.0,230.0
8617,2147.0,2147.0
8635,50.0,50.0
8665,173.0,173.0
8830,2188.0,2188.0
9072,2191.0,2191.0
average_simulation_TD,748.3380281690141,
