record_id,td_sim_0,record_atd
51,127.0,127.0
116,100.0,100.0
462,72.0,72.0
730,113.0,113.0
767,75.0,75.0
831,107.0,107.0
902,41.0,41.0
953,93.0,93.0
1033,114.0,114.0
1180,120.0,120.0
1248,77.0,77.0
1356,91.0,91.0
1429,192.0,192.0
1514,115.0,115.0
1565,269.0,269.0
1746,49.0,49.0
1881,23.0,23.0
1994,104.0,104.0
2279,109.0,109.0
2496,83.0,83.0
2545,20.0,20.0
2624,85.0,85.0
2740,130.0,130.0
2803,94.0,94.0
3076,86.0,86.0
3314,137.0,137.0
3442,693.0,693.0
3608,105.0,105.0
3680,71.0,71.0
3769,63.0,63.0
3842,50.0,50.0
4154,145.0,145.0
4201,126.0,126.0
4269,96.0,96.0
4327,95.0,95.0
4377,101.0,101.0
4461,47.0,47.0
average_simulation_TD,114.0,
