record_id,td_sim_0,record_atd
51,125.0,125.0
116,97.0,97.0
462,44.0,44.0
730,27.0,27.0
767,34.0,34.0
831,42.0,42.0
902,46.0,46.0
953,83.0,83.0
1033,50.0,50.0
1180,62.0,62.0
1248,95.0,95.0
1356,78.0,78.0
1429,195.0,195.0
1514,140.0,140.0
1565,143.0,143.0
1746,54.0,54.0
1881,36.0,36.0
1994,104.0,104.0
2279,72.0,72.0
2496,100.0,100.0
2545,22.0,22.0
2624,84.0,84.0
2740,171.0,171.0
2803,187.0,187.0
3076,66.0,66.0
3314,123.0,123.0
3442,565.0,565.0
3608,61.0,61.0
3680,93.0,93.0
3769,43.0,43.0
3842,67.0,67.0
4154,137.0,137.0
4201,37.0,37.0
4269,26.0,26.0
4327,39.0,39.0
4377,124.0,124.0
4461,38.0,38.0
average_simulation_TD,94.86486486486487,
