record_id,td_sim_0,record_atd
4,68.0,68.0
7,402.0,402.0
21,641.0,641.0
24,342.0,342.0
33,14.0,14.0
36,125.0,125.0
41,120.0,120.0
53,203.0,203.0
65,222.0,222.0
77,215.0,215.0
81,20.0,20.0
100,52.0,52.0
103,42.0,42.0
106,9.0,9.0
109,143.0,143.0
110,101.0,101.0
111,137.0,137.0
112,13.0,13.0
125,314.0,314.0
128,241.0,241.0
132,31.0,31.0
142,17.0,17.0
144,149.0,149.0
153,92.0,92.0
166,26.0,26.0
181,38.0,38.0
192,108.0,108.0
195,22.0,22.0
196,50.0,50.0
199,171.0,171.0
206,150.0,150.0
244,107.0,107.0
249,29.0,29.0
256,142.0,142.0
257,267.0,267.0
262,148.0,148.0
290,141.0,141.0
292,25.0,25.0
293,253.0,253.0
300,94.0,94.0
308,244.0,244.0
313,100.0,100.0
317,398.0,398.0
332,53.0,53.0
334,11.0,11.0
335,281.0,281.0
339,202.0,202.0
362,72.0,72.0
379,7.0,7.0
392,212.0,212.0
403,81.0,81.0
410,226.0,226.0
418,351.0,351.0
422,58.0,58.0
429,283.0,283.0
437,419.0,419.0
438,16.0,16.0
440,10.0,10.0
441,106.0,106.0
443,384.0,384.0
444,110.0,110.0
446,73.0,73.0
447,286.0,286.0
456,23.0,23.0
458,167.0,167.0
477,75.0,75.0
492,323.0,323.0
497,62.0,62.0
500,284.0,284.0
504,85.0,85.0
518,47.0,47.0
522,46.0,46.0
542,80.0,80.0
560,390.0,390.0
565,121.0,121.0
569,162.0,162.0
574,213.0,213.0
608,275.0,275.0
616,487.0,487.0
617,128.0,128.0
622,91.0,91.0
637,359.0,359.0
653,86.0,86.0
666,21.0,21.0
675,329.0,329.0
679,410.0,410.0
714,84.0,84.0
718,15.0,15.0
average_simulation_TD,157.1590909090909,
