record_id,td_sim_0,record_atd
4,110.0,110.0
7,391.0,391.0
21,642.0,642.0
24,348.0,348.0
33,12.0,12.0
36,99.0,99.0
41,92.0,92.0
53,202.0,202.0
65,157.0,157.0
77,231.0,231.0
81,38.0,38.0
100,71.0,71.0
103,34.0,34.0
106,37.0,37.0
109,135.0,135.0
110,24.0,24.0
111,137.0,137.0
112,13.0,13.0
125,299.0,299.0
128,242.0,242.0
132,53.0,53.0
142,15.0,15.0
144,149.0,149.0
153,68.0,68.0
166,30.0,30.0
181,61.0,61.0
192,107.0,107.0
195,43.0,43.0
196,153.0,153.0
199,154.0,154.0
206,223.0,223.0
244,105.0,105.0
249,35.0,35.0
256,124.0,124.0
257,311.0,311.0
262,166.0,166.0
290,29.0,29.0
292,33.0,33.0
293,254.0,254.0
300,78.0,78.0
308,255.0,255.0
313,97.0,97.0
317,414.0,414.0
332,72.0,72.0
334,41.0,41.0
335,270.0,270.0
339,230.0,230.0
362,64.0,64.0
379,3.0,3.0
392,222.0,222.0
403,84.0,84.0
410,193.0,193.0
418,314.0,314.0
422,75.0,75.0
429,279.0,279.0
437,439.0,439.0
438,46.0,46.0
440,9.0,9.0
441,160.0,160.0
443,380.0,380.0
444,119.0,119.0
446,76.0,76.0
447,233.0,233.0
456,51.0,51.0
458,156.0,156.0
477,103.0,103.0
492,258.0,258.0
497,74.0,74.0
500,210.0,210.0
504,77.0,77.0
518,73.0,73.0
522,70.0,70.0
542,67.0,67.0
560,403.0,403.0
565,128.0,128.0
569,215.0,215.0
574,226.0,226.0
608,276.0,276.0
616,459.0,459.0
617,139.0,139.0
622,94.0,94.0
637,358.0,358.0
653,81.0,81.0
666,44.0,44.0
675,275.0,275.0
679,377.0,377.0
714,101.0,101.0
718,17.0,17.0
average_simulation_TD,158.0909090909091,
