record_id,td_sim_0,record_atd
75,359.0,359.0
83,79.0,79.0
146,82.0,82.0
160,14.0,14.0
175,8.0,8.0
306,44.0,44.0
409,24.0,24.0
429,40.0,40.0
501,127.0,127.0
525,63.0,63.0
610,311.0,311.0
820,66.0,66.0
872,284.0,284.0
928,151.0,151.0
1044,390.0,390.0
1274,10.0,10.0
1282,31.0,31.0
1335,61.0,61.0
1377,99.0,99.0
1388,171.0,171.0
1390,27.0,27.0
1495,4.0,4.0
1516,275.0,275.0
1569,48.0,48.0
1605,73.0,73.0
1612,993.0,993.0
1669,13.0,13.0
1678,17.0,17.0
1730,157.0,157.0
1745,22.0,22.0
1757,7.0,7.0
1784,74.0,74.0
average_simulation_TD,128.875,
