record_id,td_sim_0,record_atd
75,167.0,167.0
83,114.0,114.0
146,49.0,49.0
160,38.0,38.0
175,8.0,8.0
306,35.0,35.0
409,39.0,39.0
429,47.0,47.0
501,108.0,108.0
525,42.0,42.0
610,229.0,229.0
820,88.0,88.0
872,259.0,259.0
928,150.0,150.0
1044,380.0,380.0
1274,10.0,10.0
1282,44.0,44.0
1335,81.0,81.0
1377,89.0,89.0
1388,256.0,256.0
1390,26.0,26.0
1495,6.0,6.0
1516,262.0,262.0
1569,52.0,52.0
1605,57.0,57.0
1612,883.0,883.0
1669,15.0,15.0
1678,19.0,19.0
1730,147.0,147.0
1745,18.0,18.0
1757,3.0,3.0
1784,59.0,59.0
average_simulation_TD,118.125,
